Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-18,2016,5,18,Wednesday,20,2016-20,95.33,96.17,94.87,95.63,2469900,92.17,0.0003139152996736172,92.91642857142857,91.02199999999999
2016-05-19,2016,5,19,Thursday,20,2016-20,95.14,95.5,94.08,94.7,2268900,91.27,-0.009725174803235426,92.75857142857141,91.17040000000001
2016-05-20,2016,5,20,Friday,20,2016-20,95.17,95.89,95.03,95.47,2446700,92.01,0.008131197225000664,92.6,91.3392
2016-05-23,2016,5,23,Monday,21,2016-21,95.51,95.73,94.99,95.08,2231800,91.64,-0.004085128414507144,92.50571428571429,91.46799999999999
2016-05-24,2016,5,24,Tuesday,21,2016-21,95.53,96.74,95.33,96.48,2446500,92.98,0.014724224884248072,92.52142857142857,91.61800000000001
2016-05-25,2016,5,25,Wednesday,21,2016-21,96.78,96.9,96.14,96.45,2689500,92.96,-0.00031072389642350373,92.53928571428573,91.75820000000002
2016-05-26,2016,5,26,Thursday,21,2016-21,96.54,96.73,96.07,96.38,1738300,92.89,-0.0007258770234314094,92.51857142857143,91.88459999999999
2016-05-27,2016,5,27,Friday,21,2016-21,96.53,97.18,96.38,97.18,2724300,93.66,0.008300590109041162,92.55,91.99939999999998
2016-05-31,2016,5,31,Tuesday,22,2016-22,97.18,97.2,95.6,95.9,4028800,92.43,-0.013171774940213044,92.4307142857143,92.0722
2016-06-01,2016,6,1,Wednesday,22,2016-22,95.9,96.54,95.25,96.41,2677500,92.92,0.0053182988839728385,92.43071428571429,92.1542
2016-06-02,2016,6,2,Thursday,22,2016-22,96.27,96.88,96.01,96.88,2662100,93.37,0.004874935420715376,92.50142857142858,92.2564
2016-06-03,2016,6,3,Friday,22,2016-22,96.21,96.61,95.33,96.03,2814800,92.55,-0.008773594872905743,92.54714285714286,92.3352
2016-06-06,2016,6,6,Monday,23,2016-23,96.4,96.97,95.98,96.64,2160700,93.14,0.006351917008784014,92.58071428571428,92.43
2016-06-07,2016,6,7,Tuesday,23,2016-23,96.59,97.17,96.44,96.68,2394900,93.18,0.00041391298079607175,92.655,92.5384
2016-06-08,2016,6,8,Wednesday,23,2016-23,96.65,97.99,96.57,97.99,4365200,94.44,0.013550062053071077,92.81714285714285,92.6424
2016-06-09,2016,6,9,Thursday,23,2016-23,97.51,97.63,96.98,97.02,2044700,93.5,-0.009898840877821335,92.97642857142857,92.7078
2016-06-10,2016,6,10,Friday,23,2016-23,96.0,96.09,94.9,95.21,4080700,91.76,-0.01865609563795745,92.95857142857143,92.7252
2016-06-13,2016,6,13,Monday,24,2016-24,94.73,95.63,94.16,94.19,3082200,90.78,-0.010713264223545904,92.89714285714285,92.6966
2016-06-14,2016,6,14,Tuesday,24,2016-24,93.87,94.33,93.35,94.11,5338200,90.7,-0.0008492746370958315,92.73428571428572,92.6822
2016-06-15,2016,6,15,Wednesday,24,2016-24,94.36,94.5,93.34,93.34,4025900,89.96,-0.008182089189659347,92.52,92.6664
2016-06-16,2016,6,16,Thursday,24,2016-24,92.93,94.09,92.05,94.08,4976200,90.67,0.007928156808918896,92.36142857142856,92.6534
2016-06-17,2016,6,17,Friday,24,2016-24,93.98,94.21,92.69,93.29,6941700,89.91,-0.008397244342081334,92.09357142857142,92.64920000000001
2016-06-20,2016,6,20,Monday,25,2016-25,94.5,95.18,94.25,94.35,4949500,90.93,0.01136236256222789,91.98642857142859,92.66
2016-06-21,2016,6,21,Tuesday,25,2016-25,94.68,95.3,94.47,95.11,4203000,91.66,0.008055141380291397,91.89642857142857,92.6916
2016-06-22,2016,6,22,Wednesday,25,2016-25,95.23,95.38,94.06,94.06,2876700,90.65,-0.011039813626831707,91.70214285714285,92.69539999999999
2016-06-23,2016,6,23,Thursday,25,2016-25,95.15,95.71,94.61,95.71,2992400,92.24,0.017542298976448878,91.67999999999999,92.6946
2016-06-24,2016,6,24,Friday,25,2016-25,91.48,93.13,91.14,91.47,8356800,88.16,-0.044300839268964,91.32428571428572,92.60400000000001
2016-06-27,2016,6,27,Monday,26,2016-26,90.27,90.8,88.82,89.07,7444800,85.84,-0.02623795434412124,90.8,92.45720000000001
2016-06-28,2016,6,28,Tuesday,26,2016-26,90.28,90.5,89.72,90.42,4820400,87.14,0.015156581091388288,90.27857142857144,92.31739999999999
2016-06-29,2016,6,29,Wednesday,26,2016-26,91.04,92.21,90.85,92.13,3987900,88.79,0.018911763547142968,89.94214285714285,92.21879999999999
2016-06-30,2016,6,30,Thursday,26,2016-26,92.61,92.74,87.59,88.06,12706800,84.87,-0.044176731327787766,89.45,92.0292
2016-07-01,2016,7,1,Friday,26,2016-26,89.16,89.48,88.27,88.85,8342100,85.63,0.008971121699003382,89.08214285714287,91.8616
2016-07-05,2016,7,5,Tuesday,27,2016-27,88.12,89.34,87.92,88.24,7077000,85.04,-0.0068654866408252024,88.67785714285715,91.684
2016-07-06,2016,7,6,Wednesday,27,2016-27,87.16,87.58,86.65,86.83,9412800,83.86,-0.013855768915914224,88.24214285714285,91.4918
2016-07-07,2016,7,7,Thursday,27,2016-27,86.95,88.32,86.95,87.81,4707200,84.81,0.011286609430331218,87.82357142857144,91.31299999999999
2016-07-08,2016,7,8,Friday,27,2016-27,88.43,88.69,87.94,88.56,5621800,85.54,0.008541086741875814,87.51142857142858,91.1274
2016-07-11,2016,7,11,Monday,28,2016-28,89.05,89.31,88.63,88.75,5274700,85.72,0.0021454189645653265,87.13928571428572,90.96860000000001
2016-07-12,2016,7,12,Tuesday,28,2016-28,89.08,90.08,88.87,90.0,6122200,86.93,0.014084344076209954,86.80142857142857,90.83760000000001
2016-07-13,2016,7,13,Wednesday,28,2016-28,90.46,90.56,89.64,90.34,3996900,87.25,0.003777726247991664,86.55857142857143,90.69800000000001
